"Team","MaxYear","MinYear","YearsActive","Link","TeamName","Color1","Color2","ColorSolo"
"ATL","2013","1966","1966-2013","http://www.pro-football-reference.com/teams/atl/","Atlanta Falcons","#000000","#BD0D18","#BD0D18"
"BCL","1950","1950","1950","http://www.pro-football-reference.com/teams/bcl/","Baltimore Colts","#B3B3B3","#007A29","#007A29"
"BUF","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/buf/","Buffalo Bills","#00133F","#00338D","#00338D"
"CAR","2013","1995","1995-2013","http://www.pro-football-reference.com/teams/car/","Carolina Panthers","#0097C6","#0088CE","#0088CE"
"CHI","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/chi/","Chicago Bears","#00133F","#DD4814","#DD4814"
"CIN","2013","1968","1968-2013","http://www.pro-football-reference.com/teams/cin/","Cincinnati Bengals","#FF2700","#FB4F14","#FB4F14"
"CLE","2013","1950","1950-1995,1999-2013","http://www.pro-football-reference.com/teams/cle/","Cleveland Browns","#4C230E","#E34912","#E34912"
"CLT","2013","1953","1953-2013","http://www.pro-football-reference.com/teams/clt/","Baltimore/Indianapolis Colts","#00417E","#003B7B","#336295"
"CRD","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/crd/","Chicago/St. Louis/Arizona Cardinals","#B10339","#870619","#CC0000"
"DAL","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/dal/","Dallas Cowboys","#002E4D","#8C8B8A","#8C8B8A"
"DEN","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/den/","Denver Broncos","#002E4D","#FB4F14","#FB4F14"
"DET","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/det/","Detroit Lions","#006EA1","#006DB0","#006DB0"
"DTX","1952","1952","1952","http://www.pro-football-reference.com/teams/dtx/","Dallas Texans","#0000CC","#FFFFFF","#0000CC"
"GNB","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/gnb/","Green Bay Packers","#294239","#213D30","#009900"
"HTX","2013","2002","2002-2013","http://www.pro-football-reference.com/teams/htx/","Houston Texans","#00133F","#B31B34","#B31B34"
"JAX","2013","1995","1995-2013","http://www.pro-football-reference.com/teams/jax/","Jacksonville Jaguars","#00839C","#007198","#007198"
"KAN","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/kan/","Kansas City Chiefs","#C60024","#B20032","#B20032"
"MIA","2013","1966","1966-2013","http://www.pro-football-reference.com/teams/mia/","Miami Dolphins","#006B79","#006666","#479191"
"MIN","2013","1961","1961-2013","http://www.pro-football-reference.com/teams/min/","Minnesota Vikings","#240A67","#3B0160","#8A00E6"
"NOR","2013","1967","1967-2013","http://www.pro-football-reference.com/teams/nor/","New Orleans Saints","#C6A876","#000000","#D2B887"
"NWE","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/nwe/","New England Patriots","#00295B","#0D254C","#0D254C"
"NYG","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/nyg/","New York Giants","#003155","#192F6B","#192F6B"
"NYJ","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/nyj/","New York Jets","#174032","#0C371D","#006600"
"NYY","1951","1950","1950-1951","http://www.pro-football-reference.com/teams/nyy/","New York Yanks","#000000","#FFFFFF","#000000"
"OTI","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/oti/","Houston Oilers/Tennessee Titans","#002C4B","#648FCC","#648FCC"
"PHI","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/phi/","Philadelphia Eagles","#002F30","#003B48","#339966"
"PIT","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/pit/","Pittsburgh Steelers","#000000","#F2C800","#F2C800"
"RAI","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/rai/","Oakland/Los Angeles Raiders","#000000","#000000","#000000"
"RAM","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/ram/","Cleveland/LA/St. Louis Rams","#00295B","#13264B","#C9AF74"
"RAV","2013","1996","1996-2013","http://www.pro-football-reference.com/teams/rav/","Baltimore Ravens","#2B025B","#280353","#8E2BB0"
"SDG","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/sdg/","San Diego Chargers","#05173C","#5B92E5","#5B92E5"
"SEA","2013","1976","1976-2013","http://www.pro-football-reference.com/teams/sea/","Seattle Seahawks","#030F1F","#4EAE47","#4EAE47"
"SFO","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/sfo/","San Francisco 49ers","#940029","#AF1E2C","#AF1E2C"
"TAM","2013","1976","1976-2013","http://www.pro-football-reference.com/teams/tam/","Tampa Bay Buccaneers","#665C50","#B20032","#B20032"
"WAS","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/was/","Washington Redskins","#8C001A","#773141","#FFB612"
